# num_gen, best, avg
124 34180.4 53220.8
125 34180.4 53507.1
126 34180.4 55184.8
127 34180.4 55718.2
128 34180.4 54821.3
129 34180.4 54657.7
130 34180.4 53285.5
131 34180.4 53489.4
132 33448.1 53217.2
133 33448.1 54214.9
134 33448.1 55175.2
135 33448.1 55465.2
136 33345.7 55439.3
137 33345.7 55528.1
138 33345.7 55688.9
139 33345.7 56665.6
140 33345.7 56562.5
141 33345.7 58831.5
142 33345.7 59198.8
143 33345.7 59873.3
144 33345.7 59368.4
145 33345.7 59472.2
146 33345.7 58325.9
147 33345.7 58829
148 33345.7 57901.8
149 33345.7 58922.2
150 33345.7 60502.7
151 33345.7 60363.3
152 33345.7 59476.4
153 33345.7 58508.6
154 33345.7 59390.4
155 33345.7 58878.8
156 33345.7 59243.1
157 33345.7 59090.9
158 33345.7 58072.1
159 33345.7 57473.6
160 33345.7 59106.5
161 33345.7 60048.3
162 33345.7 59501.7
163 33345.7 60513.5
164 33345.7 59399.3
165 33345.7 58517.9
166 33345.7 58863
167 33345.7 58666.8
168 33345.7 58434.8
169 33345.7 56516.3
170 33345.7 56124.1
171 32929 55307.6
172 32929 54318.3
173 32929 54424.8
174 32929 53811.8
175 32929 53955
176 32929 52483.9
177 32929 54034.2
178 32929 54328.4
179 32929 53876.8
180 32929 53990.5
181 32929 54970.6
182 32929 55523.7
183 32929 55298.4
184 32798.2 54590.4
185 32798.2 55921.1
186 32798.2 56941.3
187 32798.2 57555.1
188 32798.2 58266.7
189 32798.2 58294.8
190 32798.2 57578.6
191 32798.2 58283.3
192 32798.2 59955.6
193 32798.2 60096
194 32798.2 59409.7
195 32798.2 59629.7
196 32798.2 59671.6
197 32798.2 58635.7
198 32798.2 58511.6
199 32798.2 57195.7
200 32798.2 56805.2
201 32595.4 55095.1
202 32595.4 55220.1
203 32595.4 54488.7
204 32595.4 54036.9
205 32595.4 53549.6
206 32595.4 53520.4
207 32595.4 53192.5
208 32595.4 52723.7
209 32595.4 53781.1
210 32595.4 54790.3
211 32595.4 54267.4
212 32595.4 53967.8
213 32595.4 56174.2
214 32595.4 55187.3
215 32595.4 55434.7
216 32595.4 55853.2
217 32595.4 55614
218 32595.4 55730.5
219 32595.4 55986.6
220 32595.4 56631.8
221 32595.4 56272
222 32595.4 57832.9
223 32595.4 57563.9
224 32595.4 57206.2
225 32595.4 57779.4
226 32595.4 57636.8
227 32595.4 57271.9
228 32595.4 56486.9
229 32595.4 56850.7
230 32467.1 56913.9
231 32386.8 56413.5
232 32386.8 54949.9
233 32386.8 54468.9
234 32386.8 54434.8
235 32386.8 53431
236 32386.8 52331.8
237 32386.8 52602.7
238 32386.8 52759.3
239 32386.8 51805.1
240 32386.8 51518.4
241 32386.8 51320.8
242 32386.8 50325.7
243 32386.8 49969.5
244 32386.8 49723.8
245 32386.8 48677.7
246 32386.8 49102.4
247 32386.8 50033.7
248 32386.8 50301.4
249 32386.8 51285
250 32386.8 52158.3
251 32386.8 53624.3
252 32386.8 53931.6
253 31868.2 54711.1
254 31868.2 57136.1
255 31868.2 57276.2
256 31868.2 57055.9
257 31868.2 56269.1
258 31868.2 55448.2
259 31868.2 55448.6
260 31868.2 56554.6
261 31868.2 56417.6
262 31868.2 57293
263 31868.2 56819.9
264 31868.2 54472.5
265 31868.2 53984.8
266 31868.2 53159.9
267 31868.2 51125
268 31868.2 50458.2
269 31868.2 49969.1
270 31868.2 49381.6
271 31868.2 50631.5
272 31868.2 51399.6
273 31868.2 51730.7
274 31868.2 52047.6
275 31868.2 52227.2
276 31868.2 53123.8
277 31868.2 52860.5
278 31868.2 53802.4
279 31868.2 53796.9
280 31868.2 54445
281 31868.2 55586
282 31868.2 55949.2
283 31868.2 55728.1
284 31868.2 57664.2
285 31868.2 58590.8
286 31868.2 58503.8
287 31868.2 55797.3
288 31868.2 54343.9
289 31868.2 54316.4
290 31868.2 52697.6
291 31868.2 52797.2
292 31868.2 52313.1
293 31868.2 53885.1
294 31868.2 55141.9
295 31868.2 53741.7
296 31868.2 53389.4
297 31868.2 54666.1
298 31868.2 54784.8
299 31868.2 56987.2
300 31868.2 56406.9
301 31868.2 55275
302 31868.2 55829.8
303 31868.2 57209.4
304 31868.2 57341.7
305 31868.2 56927.8
306 31868.2 57272.4
307 31868.2 57777
308 31868.2 57081.1
309 31868.2 56101.4
310 31868.2 55746.6
311 31868.2 54415.4
312 31868.2 53944.6
313 31868.2 53728.4
314 31868.2 53557.6
315 31868.2 54051.6
316 31868.2 54429.9
317 31868.2 54566.1
318 31868.2 54713
319 31868.2 53358.7
320 31868.2 51612.9
321 31868.2 53491.3
322 31868.2 54401.2
323 31868.2 53961.8
324 31868.2 53766.1
325 31868.2 54342.2
326 31868.2 54399.7
327 31868.2 53456.5
328 31868.2 52686.9
329 31868.2 52608.9
330 31868.2 52968.2
331 31868.2 52928.9
332 31868.2 52484.4
333 31868.2 52119.2
334 31868.2 52594
335 31868.2 53139.3
336 31868.2 53192.4
337 31868.2 53470.4
338 31868.2 54398.1
339 31868.2 54867.3
340 31868.2 55210.1
341 31868.2 55980.1
342 31868.2 56350.5
343 31868.2 57576.5
344 31868.2 56574.5
345 31868.2 56973.2
346 31868.2 57711.6
